"""","7111 家計外消費支出（列）","7211 家計消費支出","7212 対家計民間非営利団体消費支出","7311 一般政府消費支出","7321 一般政府消費支出（社会資本等減耗分）","7411 県内総固定資本形成（公的）","7511 県内総固定資本形成（民間）","7611 在庫純増","7711 調整項","8100 移輸出"," 平均"
"0111 穀類","0.0013615544723169777","0.0016696777011765188","0.00036391196057563126","0.0001748700178093894","0.000020831449225277404","0.000003746279902976106","0.000010044465538026484","-0.0010940504111581315","0.00007091114730062162","0.000756220648653079","0.0008806748724000663"
"0112 いも・豆類","0.000013134754747111031","0.000008531606484464598","0.000002607008578261995","0.000001465350029940045","0.000000168158896398759","0.000000009492129399748","0.000000007872160419788","0.00002244233822125981","0.000001084348394684728","0.000021886877289709753","0.000012635220550933526"
"0113 野菜","0.0011919738453833543","0.001117142758904005","0.000286115158803676","0.00013988059932676698","0.000013855074913627304","0.000000800638870676462","0.000000470616948175195","0.00010783170234858293","0.00005855418015506263","0.0023679131562376354","0.00139966655652966"
"0114 果実","0.0012009911353008638","0.000952409670508497","0.0003580475318867563","0.0001355824344661759","0.00001318387639435144","0.000000979084227986196","0.0015451846705603779","0.000045990928305922914","0.000279843552543058","0.015107583388041143","0.006902463046718097"
"0115 その他の食用作物","0.000001846347080155254","0.000001518916523464655","0.000000232194478956487","0.000000158263280934647","0.000000050324419489242","0.000000015918226443651","0.000000381141951003856","0.000001696090482991308","0.00000094189808051818","0.000010121008013852675","0.000004896147963486745"
"0116 非食用作物","0.00013620056027840243","0.00011558968824767173","0.00003842511448480025","0.000005326279981244632","0.000002931774126592776","0.0001458506708922084","0.00003234760067019295","0.00001901616253943963","0.0012488531678568808","0.001473360818230722","0.0006780375228144697"
"0121 畜産","0.0002669815422850152","0.00016630597792481643","0.00003695279998238201","0.00002488016488408502","0.000005866255801523112","0.000000714745162967793","0.000059834178670439294","0.00002436949205052474","0.00004432070306743272","0.0002668228865431145","0.00017784072925438953"
"0131 農業サービス","0.00032605802461462344","0.0005370316795008108","0.0002510758387763471","0.00006230823616672601","0.00004103833100827949","0.000003091114572602439","0.00008579302026748696","-0.00006792837047375145","0.000042813403265093835","0.0008509303981999661","0.0005524750185895682"
"0151 育林","0.000000893918429169529","0.000000737116486234708","0.000000674400859344336","0.000000344030702392233","0.000000423668049554755","0.000016136811946469043","0.000029853920803346444","0.03461505358196453","0.000003773282759802351","0.00022932818639973684","0.0004476026880168198"
"0152 素材","0.000001497345256856746","0.00000123469640897753","0.000001129645496734521","0.000000576263698823925","0.000000709659096157031","0.000019346898113386524","0.000050006382299329694","0.000013922005064190495","0.000006320383223800728","0.00038413289285043267","0.00016899607486873592"
"0153 特用林産物","0.00008402190221417189","0.00005490362821451935","0.000007856180603838158","0.000004644014928972839","0.000000654724488581559","0.000002073810064458994","0.000000652791200946497","0.00000354023556534677","0.00000371176522223805","0.0002931614063025905","0.0001445153350513023"
"0171 海面漁業","0.0002569622525479956","0.000142573344510495","0.00003981744870098737","0.000022007729200058315","0.000002124294185997617","0.000000458377576266114","0.000000672128561144203","0.00008112467979911817","0.000686343248754657","0.002411015758979666","0.0010836281024994363"
"0172 内水面漁業","0.00022252766949876798","0.00005657127399910634","0.00002123213530768876","0.000013157224937473451","0.000000922670924921819","0.000000151593000804674","0.000000098007008254086","0.000004398511808184039","0.000040995905142419536","0.00010478559813494887","0.00006744048969060768"
"0611 金属鉱物","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0621 石炭・原油・天然ガス","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0631 砂利・砕石","0.000000469003375174399","0.000001442855284997248","0.000000458889879449079","0.000000821222880760041","0.000001891538648863014","0.0012457794237548789","0.0002573563045877975","-0.00010722547605734204","0.00004029192461840423","0.00020164372052238312","0.00014404151428064208"
"0639 その他の鉱物","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1111 食肉","0.00019959193281434345","0.00012488722470569756","0.000013189246978109878","0.000008765728693344848","0.000000968611741452776","0.000000190737057698509","0.000000173286420564981","0.00006457054585855024","0.000028663124510934955","0.0000664138696758293","0.00007233663765409442"
"1112 畜産食料品","0.00015274398286688816","0.00014836784720833067","0.000020335988982117572","0.000011376248686954782","0.000001470039734161423","0.000000063668323760229","0.000000044173353912441","0.000028707447782903393","0.00000154563719058744","0.00005929161216515464","0.00007596926356248772"
"1113 水産食料品","0.001067085679111724","0.001037236704505181","0.0001483197811107095","0.00007841659406508375","0.000008550675737887727","0.0000004700071362295","0.000000290740523765218","0.00015611695885136529","0.001101009140541961","0.001095784774439326","0.0008233425591502056"
"1114 精穀・製粉","0.00019881865902077328","0.00024514534624427305","0.00005264399997228231","0.000025502295566692297","0.000002857844462554279","0.000000232905287541179","0.000000288442922701948","-0.000006699869746631175","0.000007102611888506352","0.00009715795780083821","0.00012477280294046842"
"1115 めん・パン・菓子類","0.001208963787630612","0.0014011458835972363","0.00007373990085066339","0.00003308941099299427","0.000004664812374156497","0.00000044597361660062","0.000000259647703959625","0.0001509944970600486","0.000180201873165677","0.001052819823427842","0.000914947908144474"
"1116 農産保存食料品","0.0005096118758929644","0.0005076612474886653","0.00007262701415130797","0.00003874784669418908","0.000004193833371859979","0.000000261929290700194","0.000000162831128686708","0.00130149253354713","0.0006961581587883355","0.005825501019932476","0.002675981772430832"
"1117 砂糖・油脂・調味料類","0.00023201156896286156","0.00013846765093791346","0.000022294744166355904","0.000013654973143275086","0.00000163951518958313","0.000000811878874308968","0.000000742756202396054","0.00009250405591386817","0.0002588214668386567","0.0006321297050113689","0.0003201449007092784"
"1119 その他の食料品","0.00241726259337427","0.0020410457310898506","0.00027329395468225656","0.0004690566551255995","0.00009601102926292161","0.000000934259367306939","0.000000648589079736039","0.0005019545386763878","0.0001541371475767676","0.0020522041675701498","0.001613201783840438"
"1121 酒類","0.0008384360962420354","0.00026403978692415516","0.000003540231301091599","0.000007002700377759428","0.00000035508704321454","0.000000748152317493325","0.000000447490114438704","0.00004402584905485939","0.00006261604504595954","0.0006239306210355181","0.0003631046505824516"
"1129 その他の飲料","0.002017403097629451","0.001303854142507352","0.00013702211248823367","0.00007905519941315497","0.000008518072849428938","0.000001391813563860033","0.000001439186243234346","0.00005402634704792656","0.00035057406813323943","0.006359694519837748","0.0031685974336603563"
"1131 飼料・有機質肥料（別掲を除く。）","0.00000833924948255454","0.000012008082122133488","0.000003698996747456183","0.000001805176594243366","0.000001124132929134398","0.000000432483252986377","0.000001499519018906652","0.000001103902057601656","0.00000261028214086863","0.00008643955985435674","0.0000412224070474206"
"1141 たばこ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1511 紡績","0.000000887234326223873","0.000000737117117621182","0.000000338467821344056","0.000000276055301948565","0.000000205926602287528","0.000000316932081846825","0.000000649738166375036","0.00003691182844340618","0.00024372480234899918","0.00012684190516333465","0.000055279089910334065"
"1512 織物","0.000001165163921514978","0.000001706530804787838","0.000000641498093658379","0.000000475726783306755","0.00000041786427748959","0.000000613767505469526","0.000000885087975407381","-0.00002576780289426896","0.00393025710452812","0.0005396852505194894","0.00023691038533000378"
"1513 ニット生地","0.000009845000255227664","0.000006388849425648013","0.000004956005153199705","0.000002822453229505065","0.000002100009928152567","0.000006477499480100623","0.000003980530155134155","0.0011532238538637868","0.022457628569694896","0.0022703333276131625","0.0010180828958914689"
"1514 染色整理","0.00000376293768549144","0.000003160133245079658","0.000002093274144262742","0.00000152159560265849","0.000001182535693761875","0.000002355312764223827","0.000004414897953170158","-0.000006852795512396103","0.0003819009890258246","0.0016719444115076854","0.000716732885751703"
"1519 その他の繊維工業製品","0.000018156759921015597","0.000017321998142663685","0.000010083388580067227","0.000008060965108719713","0.000007747565112289512","0.000013324672359013981","0.00005766861473666459","-0.00024938316770078554","0.0007129788169462537","0.00043148217997269995","0.0001942665159706029"
"1521 衣服","0.000004698867658944387","0.0000219298045822733","0.000023110401243256608","0.000003515565373709692","0.00000586029361620012","0.000001695698160024531","0.000005703544171548776","-0.00001583096565141549","0.0002159368997189378","0.0009725140574578575","0.0004239116494838198"
"1522 その他の衣服・身の回り品","0.00008948014833344644","0.00009862782026353791","0.000008248237059959329","0.000003606349642426719","0.000005027262573290182","0.00000558304961814927","0.00000149079585344948","0.00002194011202787256","0.00012416865384700214","0.00031830205915404756","0.0001696278358962825"
"1529 その他の繊維既製品","0.00019281766926438956","0.00009437315539768833","0.00004222006876569277","0.00005503053279458905","0.00003704563729872665","0.000042408475597860835","0.00014395275006303299","-0.00006437898790717847","0.00019569490148492528","0.001183933004228919","0.0005564235250117345"
"1611 木材","0.000012283131659982052","0.00001219720318751088","0.00001702088106655071","0.000008595652122962982","0.00001130275593554312","0.0003007401335642681","0.000802324266420382","-0.000046967945097556584","0.00010055217065598477","0.001618465611405571","0.0007633252615332707"
