"""","7111 家計外消費支出（列）","7211 家計消費支出","7212 対家計民間非営利団体消費支出","7311 一般政府消費支出","7321 一般政府消費支出（社会資本等減耗分）","7411 県内総固定資本形成（公的）","7511 県内総固定資本形成（民間）","7611 在庫純増","7711 調整項","8100 移輸出","合計"
"0111 穀類","0.02170990792310441","0.5981261036408672","0.0033417769062615904","0.02082276654319029","3.65551586046439E-4","1.365994700060061E-4","8.104132752942223E-4","-0.012440703079249014","1.1889317003470439E-4","0.3670086905644442","1.0"
"0112 いも・豆類","0.014597473872636177","0.21302162979751638","0.001668615840516589","0.012161782474739648","2.0567514618532169E-4","2.4123772262988356E-5","4.426968453271067E-5","0.01778723621571499","1.26719664273844E-4","0.7403624735316214","1.0"
"0113 野菜","0.011958610090181529","0.2518023642903511","0.0016531528539137253","0.010480248478063215","1.5297803770577807E-4","1.836861799034705E-5","2.389121827428862E-5","7.715162400264335E-4","6.17719510572874E-5","0.7230770982224364","1.0"
"0114 果実","0.0024432858350333956","0.04353067692072978","4.1950131164289565E-4","0.002059861489663615","2.9517789109088615E-5","4.554915884429932E-6","0.015906389737540355","6.672541473503761E-5","5.9864480075167595E-5","0.9354796221055862","1.0"
"0115 その他の食用作物","0.005295382985468495","0.09787123919752329","3.835253580802563E-4","0.0033897237931952854","1.5884334832849453E-4","1.0440097185862314E-4","0.005531304121590984","0.003469106876275703","2.8405823079885345E-4","0.88351241511688","1.0"
"0116 非食用作物","0.002820744377776028","0.05378251145127788","4.583087729046618E-4","8.237756380216808E-4","6.68223234891335E-5","0.006907471465902693","0.0033898748369695863","2.8086158909287445E-4","0.0027196664957591394","0.9287499630488063","1.0"
"0121 畜産","0.021080872063071392","0.29502060159610816","0.0016804006841011421","0.01467103335473035","5.097703354062458E-4","1.2905783974596764E-4","0.023906358175247975","0.0013722664413459765","3.6798779127657905E-4","0.6412616517189663","1.0"
"0131 農業サービス","0.008287447944671684","0.30666412613854727","0.0036752679384517086","0.01182691547589377","0.0011479470018576706","1.796663952096162E-4","0.011034041942841235","-0.0012312939560487949","1.144261026659126E-4","0.6583014550159099","1.0"
"0151 育林","2.8044246160562336E-5","5.195401951859837E-4","1.218490529353119E-5","8.06015135301911E-5","1.4627759813985071E-5","0.0011576824480269237","0.004739188784239352","0.7744538064283853","1.2447572519898448E-5","0.2189818761468444","1.0"
"0152 素材","1.2441819574007137E-4","0.0023049381798105166","5.4058287864293807E-5","3.575883206105848E-4","6.489600302875999E-5","0.003676199940954479","0.02102539374496844","8.249893954206188E-4","5.5223610055432694E-5","0.9715122943215468","1.0"
