"""","7111 家計外消費支出（列）","7211 家計消費支出","7212 対家計民間非営利団体消費支出","7311 一般政府消費支出","7321 一般政府消費支出（社会資本等減耗分）","7411 県内総固定資本形成（公的）","7511 県内総固定資本形成（民間）","7611 在庫純増","7711 調整項","8100 移輸出","平均"
"0111 穀類","0.002167840854596508","0.002658428735840232","0.0005794136273297084","0.00027842468043611174","0.00003316743296664504","0.000005964754838346819","0.000015992604922273872","-0.0017419260312521326","0.0001129033654474388","0.0012040399782535932","0.0014021936006398472"
"0112 いも・豆類","0.000027418800534594276","0.00001780972853631985","0.000005442130407121914","0.000003058918187499845","0.000000351031696232409","0.000000019814820121973","0.000000016433134876308","0.000046848381036879853","0.00000226357727390437","0.000045688856342269116","0.00002637602290007374"
"0113 野菜","0.0020604657343068836","0.0019311114786335424","0.0004945834030369569","0.00024179992113368802","0.000023950112006528624","0.000001383997614521859","0.0000008135162524369","0.0001863996669237127","0.00010121772577244464","0.004093213906612992","0.0024194867952468816"
"0114 果実","0.0020282166153554734","0.0016084158005601362","0.0006046655399149269","0.00022896967200824003","0.00002226474148880187","0.00000165346341089905","0.002609485724337201","0.00007766882052990964","0.0004725957805056952","0.025513470287036967","0.011656780659520607"
"0115 その他の食用作物","0.000003573574993848879","0.000002939838432512235","0.000000449408668948039","0.000000306316027615446","0.000000097402102237242","0.000000030809470536098","0.00000073769409871714","0.000003282755773531565","0.000001823028542938413","0.000019589047768747113","0.00000947641541320015"
"0116 非食用作物","0.0002988607681860123","0.00025363495534429714","0.00008431506602534785","0.000011687294997280325","0.0000064331032547179","0.0003200357139074314","0.00007097936135877419","0.0000417265900585887","0.0027403207177292845","0.0032329510616662944","0.001487797219872421"
"0121 畜産","0.0013496082936823325","0.0008406870571474734","0.00018679870115427918","0.00012577078021333208","0.00002965428776400493","0.000003613081232338077","0.00030246549288822424","0.00012318929729270586","0.00022404390928936683","0.0013488062790438789","0.0008989959421989212"
"0131 農業サービス","0.0005170508469231893","0.0008516051246972547","0.00039814684896866706","0.00009880611378411354","0.00006507707893165417","0.000004901776024650009","0.00013604742236242144","-0.00010771831647166932","0.00006789192335948413","0.001349374190627562","0.000876094604950353"
"0151 育林","0.000000973405882998294","0.000000802661071460942","0.000000734368755094079","0.000000374621999852658","0.000000461340720157366","0.000017571701364433123","0.000032508539025803506","0.037693032940699554","0.000004108804021436153","0.0002497201069970317","0.00048740363275226044"
"0152 素材","0.000003063260530148987","0.000002525934989954964","0.000002311022422758753","0.000001178917043668758","0.000001451816599521254","0.00003957977567308701","0.00010230277649834831","0.000028481559893002794","0.000012930204557850274","0.0007858569181771935","0.0003457312223249186"
"0153 特用林産物","0.00017878758864589363","0.00011682772036466576","0.000016716922006199884","0.000009881854717715975","0.000001393167846194858","0.000004412795842078318","0.000001389054063653365","0.000007533156989869028","0.000007898149604040964","0.0006238090252143647","0.0003075096801583449"
"0171 海面漁業","0.0004835129981627493","0.0002682731201910058","0.00007492249857597244","0.000041410841564313196","0.000003997177953830235","0.000000862506122955186","0.000001264710643400621","0.00015264824605839026","0.0012914577089961554","0.00453668757446837","0.0020390087164068975"
"0172 内水面漁業","0.00081402393385732","0.00020694222479298387","0.00007766884157051484","0.00004813017646916517","0.000003375203711306515","0.000000554539267580564","0.000000358517440030169","0.00001609010642712756","0.00014996628532191878","0.00038331406156156937","0.000246702681256977"
"0611 金属鉱物","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0621 石炭・原油・天然ガス","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0631 砂利・砕石","0.000001205935213578909","0.000003709973293112442","0.000001179930665907994","0.000002111587341427957","0.000004863660231999745","0.0032032376630539375","0.0006617330419499837","-0.00027570585674831916","0.00010360149476991","0.0005184808384045926","0.0003703699023992387"
"0639 その他の鉱物","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1111 食肉","0.0018769485908982037","0.0011744307353874224","0.00012403075706270578","0.00008243230017955516","0.000009108757140692371","0.000001793677963990124","0.000001629573391644919","0.0006072169017746198","0.00026954602023711104","0.0006245513901611285","0.0006802486864108839"
